naturalidade,n,pct
Angola,39,50.0
Portugal,16,20.51282051282051
São Tomé e Príncipe,13,16.666666666666664
Guiné Bissau,4,5.128205128205128
Cabo Verde,4,5.128205128205128
Moçambique ,1,1.282051282051282
Índia,1,1.282051282051282
