zona de residência,n,pct
Lisboa,21,26.923076923076923
Loures,17,21.794871794871796
Odivelas,11,14.102564102564102
Sintra,9,11.538461538461538
Setúbal,4,5.128205128205128
Barreiro,4,5.128205128205128
Seixal,3,3.8461538461538463
Amadora,2,2.564102564102564
ND,1,1.282051282051282
Campolide,1,1.282051282051282
Vila Nova de Gaia,1,1.282051282051282
Mafra,1,1.282051282051282
Almada,1,1.282051282051282
Vagos,1,1.282051282051282
Vila Franca de Xira,1,1.282051282051282
